id,run_mode_id,operator,machine,part_number,job,ideal_units_per_hour,ideal_cycle_time_seconds,start_date,end_date,active,notes,cavity_count,entry_mode,machine_cycle_time,created_by,created_at,updated_by,updated_at
41,1,Any,Asy31,A85-2144-002,SO# 610031 / 610031,327.272727272727,11.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.265412,,2026-02-27 01:21:45.265523
42,1,Any,Asy31,A85-2144-003,SO# 610101 / 610101,327.272727272727,11.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.265776,,2026-02-27 01:21:45.265890
43,1,Any,Asy31,A85-2144-003R,SO# 610111 / 610111,327.272727272727,11.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.266106,,2026-02-27 01:21:45.266217
44,1,Any,Asy31,A85-2144-001,SO# 610121 / 610121,327.272727272727,11.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.266457,,2026-02-27 01:21:45.266572
45,1,Any,Asy31,A85-2144-001R,SO# 610131 / 610131,327.272727272727,11.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.266781,,2026-02-27 01:21:45.266957
46,1,Any,400T,A85-2142,SO# 610172 / 610172,137.142857142857,26.25,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.267177,,2026-02-27 01:21:45.267322
47,1,Any,400T,18-73837-000,SO# 610210 / 610210,36.000090000225,99.99975,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.267555,,2026-02-27 01:21:45.267672
48,1,Any,Asy10,18-73837-000,SO# 610210 / 610210,450.0,8.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.267880,,2026-02-27 01:21:45.267998
49,1,Any,400T,A85-2143,SO# 610220 / 610220,118.032786885246,30.5,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.268220,,2026-02-27 01:21:45.268364
50,1,Any,Asy09,01-35313-000,SO# 610260 / 610260,93.9947780678851,38.3,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.268610,,2026-02-27 01:21:45.268722
51,1,Any,Asy09,01-35313-000,SO# 610260 / 610260,93.9947780678851,38.3,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.268944,,2026-02-27 01:21:45.269190
52,1,Any,Asy09,01-35313-000,SO# 610261 / 610261,93.9947780678851,38.3,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.269431,,2026-02-27 01:21:45.269545
53,1,Any,Asy09,01-35313-001,SO# 610270 / 610270,93.9947780678851,38.3,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.269761,,2026-02-27 01:21:45.269869
54,1,Any,500T,23590935,SO# 610280 / 610280,99.0000037125001,36.363635,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.270088,,2026-02-27 01:21:45.270201
55,1,Any,500T,23590943,SO# 610290,0.0,0.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.270457,,2026-02-27 01:21:45.270576
56,1,Any,ASY13,23898854,SO# 610320 / 610320,54.9618320610687,65.5,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.270790,,2026-02-27 01:21:45.270900
57,1,Any,Asy09,A62-1061-700,SO# 610350 / 610350,120.0,30.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.271126,,2026-02-27 01:21:45.271258
58,1,Any,Asy 11,24366617,SO# 610360 / 610360,90.0,40.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.271499,,2026-02-27 01:21:45.271611
59,1,Any,Unknown,24509739,SO# 610370 / 610370,120.0,30.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.271824,,2026-02-27 01:21:45.271942
60,1,Any,500T,54034 7BA0A,SO# 610400 / 610400,96.0,37.5,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.272154,,2026-02-27 01:21:45.272290
61,1,Any,500T,160300068,SO# 610410 / 610410,160.0,22.5,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.272508,,2026-02-27 01:21:45.272623
62,1,Any,500T,160300283,SO# 610450 / 610450,160.0,22.5,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.272839,,2026-02-27 01:21:45.272946
63,1,Any,ASY38,18-74797-000,SO# 610470 / 610470,60.0,60.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.273162,,2026-02-27 01:21:45.273298
64,1,Any,Injection,54034,SO# 610590 / 610590,96.0,37.5,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.273517,,2026-02-27 01:21:45.273637
65,1,Any,800T INJ,11286-15,SO# 612010/ 612010,426.666666666667,8.4375,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.273858,,2026-02-27 01:21:45.273974
66,1,Any,Asy03,68622598AA,SO# 617400 / 617400,20.0,180.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.274196,,2026-02-27 01:21:45.275850
67,1,Any,Asy08,A62-1060-700,SO# 620040 / 620040,120.0,30.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.276070,,2026-02-27 01:21:45.276162
68,1,Any,Asy 01,R62-6020M03,SO# 624110 / 624110,0.0,0.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.276385,,2026-02-27 01:21:45.276471
69,1,Any,Asy 01,R62-6020M03,SO# 624111 / 624111,0.0,0.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.276667,,2026-02-27 01:21:45.276750
70,1,Any,350T,15000896,SO# 641780 / 641780,156.000029250005,23.07691875,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.276933,,2026-02-27 01:21:45.277016
71,1,Any,600T Comp,121-002140,SO# 642000 / 642000,25.0000324436185,143.999813125,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.277211,,2026-02-27 01:21:45.277324
72,1,Any,400T,13248,SO# 642380 / 642380,60.0,60.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.277510,,2026-02-27 01:21:45.277592
73,1,Any,500T,TLB-13371-45,SO# 642410 / 642410,93.0004262519537,38.7095,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.277773,,2026-02-27 01:21:45.277854
74,1,Any,600T Comp,11840-2A,SO# 642800/ 642800,64.0003179535796,56.24972055,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.278036,,2026-02-27 01:21:45.278117
75,1,Any,ASY07,65381000,SO# 643740 / 643740,27.6285495011512,130.3,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.278329,,2026-02-27 01:21:45.278411
76,1,Any,400T,S1206-EW040,SO# 644140 / 644140,66.2068965517241,54.375,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.278624,,2026-02-27 01:21:45.278719
77,1,Any,Service,R62-6013,SO# 645081 / 645081,68.7022900763359,52.4,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.278908,,2026-02-27 01:21:45.278989
78,1,Any,800T INJ,R62-6013,SO# 645082 / 645082,106.666666666667,33.75,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.279169,,2026-02-27 01:21:45.279275
